id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
2975324465;jsconfbp;JSConf BP;Budapest;https://t.co/Lqq6cqxl7s;JSConf Budapest - 2017 October 26-27;False;1468;173;86;1079;1297;2015-01-12 21:03:12;en;http://pbs.twimg.com/profile_background_images/590141903510704128/IrT-5AX3.png;http://pbs.twimg.com/profile_images/644140192866136065/Q5O4KoLg_normal.png
2955717424;pyconcz;PyCon CZ;Prague, Czech Republic;https://t.co/qFQIDfLRts;8-10 June 2017;False;1052;1443;62;773;1517;2015-01-01 23:07:48;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/850302365307678720/KoXTSJaZ_normal.jpg
2929314495;devops_con;Devops Con;Berlin, Deutschland;http://t.co/QDeeCkJSNL;May 28 - 31, 2018 | The Conference for Continuous Delivery, Microservices, Docker, Clouds & Lean Business | Imprint: https://t.co/41mVuyJ8Pt;False;1289;338;156;996;1914;2014-12-18 10:55:05;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/935451464608157696/pRaFNQSp_normal.jpg
2889102706;devitconf;DEVit Web Conference;Thessaloniki, Greece;https://t.co/1IZkidVVsR;DEVit is a 360° Web Development Conference happening on May 20-21 2017 in Thessaloniki, Greece;False;861;518;44;815;850;2014-11-23 11:03:32;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/544754188341616640/sECmDJjf_normal.png
2887134689;ReactEurope;react-europe;Paris, France;https://t.co/hTPkFin2fl;The first European React.js & Native 2-day conference in Paris, France. Next edition will be on May 17-18, 2018. Official hashtag is #ReactEurope.;False;13544;215;346;2646;2189;2014-11-21 18:01:50;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/836568168403468289/Fah_2RcO_normal.jpg
2881121510;OReillySACon;SoftwareArchitecture;New York & London;http://t.co/rlw1EAc7eD;Coming to NY, February 25-28, 2018. Software Architect news, resources + training from @OReillyMedia. O'Reilly Software Architecture Conference #OReillySACon;False;6554;371;203;1194;2878;2014-10-28 18:47:51;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/885509606553698306/crnxmbgQ_normal.jpg
2863743586;scalaexchange;Scala eXchange London;London;https://t.co/gLm2TKTTSF;#ScalaX: Europe's largest annual #Scala conference. Dec 14th-15th, 2017 ✨  Dec 16th: #ScalaX2gether Community Day;False;880;146;34;48;357;2014-11-06 11:47:40;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/934010546084630528/GOHsJ8J5_normal.jpg
2841883887;ngnlconf;NG-NL;Amsterdam;https://t.co/AL2IdL8YEb;The Angular conference in Amsterdam, The Netherlands.;False;895;147;38;406;452;2014-10-23 13:39:07;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/831794986689687553/s9s-sCW4_normal.jpg
2832071580;MS_Ignite;Microsoft Ignite;Orlando, FL;http://t.co/SlPDx0Tlc5;Microsoft Ignite is the one conference that's really every tech event. Bring your toughest challenges, greatest ambitions & passion for innovation. #MSIgnite;True;75892;21933;1105;3780;6411;2014-09-25 17:25:15;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/874740089171070976/OgsI0YcM_normal.jpg
2799935078;agileruhr;AGILE.RUHR;Essen, Germany;http://t.co/LVcJcEb8Sg;Dachorganisation für agile im Ruhrgebiet, https://t.co/gj9QT8ktsV camp, scrumtischessen. Orga: @bertholdb @markusingendahl @jgelfert;False;472;303;55;392;840;2014-09-09 13:40:30;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/559654175315750913/8CPD-pZH_normal.png
